Name,Image_URL,Description
Spring Onion 'White Lisbon',/media/images/2007_2.jpg?1549350221,"Sow 'White Lisbon' spring onions close together to ensure they stay small and fine. This variety produces a long, white shaft with soft green, erect foliage. Sow from mid-March to mid-April."
Onion 'Albion F1',/media/images/onion_white_albion-800x8002.jpg?1614699985,"Onion 'Albion F1' is a beautiful uniform, white onion. This variety is suitable for the fresh market and has a short storage period. Spicy with a hint of sweetness."
Onion 'Hylander F1',/media/images/2012_dbweb.jpg?1549350221,"The medium-early, mildew-resistant variety 'Hylander F1' produces round onions. The uniform onions have good skin quality and can be stored well. Harvest when the foliage turns yellow and falls over."
Onion 'Red Baron',/media/images/2021_dbweb.jpg?1549350221,"Red Baron' is an onion that stores well and has a relatively high yield. It has a pronounced flavor, is slightly flattened and has a lovely red color. 'Red Baron' grows best on heavier, clay soils."
Onion 'Red Long of Florence',/media/images/2025_dbweb.jpg?1549350221,"Onion 'Red Long of Florence' is a red, bottle-shaped onion, suitable for use in salads. It has a sweet, mild flavor. This onion is unfit for storage."
Onion 'Redlander F1',/media/images/onion_red_redlander-800x8006.jpg?1614700089,Onion 'Redlander F1' is known for its high resistance to downy mildew. It has a high yield and is easy to store.
Onion 'Rijnsburger 4',/media/images/2010_dbweb.jpg?1549350221,"Rijnsburger 4' onions have a long growing period. So it is important to sow early, from March to mid-April at the latest. The onions can be stored well into spring, provided they are kept cool and dry."
Onion 'Stuttgarter',/media/images/2015_dbweb.jpg?1549350221,"Stuttgarter' is an onion that is also known as 'Stuttgarter Riesen'. This variety produces round, yellow onions that store extremely well. Sow directly from March to April."
Welsh Onion 'Ishikura Long White',/media/images/2005_dbweb.jpg?1549350221,"Spring onion 'Ishikura Long White' produces long, white shafts with no bulb. This variety has fresh green, upright foliage. Sow from from March to June. Harvesting is possible from July to October."
Leek 'Blauwgroene Herfst',/media/images/1690_dbweb.jpg?1549350221,"Leek variety 'Blauwgroene Herfst' tolerates frost well. It needs nutritious, well-loosened soil. This variety remains robust in late autumn or early winter."
Leek 'Autumn Giant 2',/media/images/1695_dbweb.jpg?1549350221,"Leek 'Autumn Giant 2' is ideal for autumn cultivation. Preferably grow on nutritious, deeply loosened soil. This robust and highly productive variety forms a thick stem."
Celery 'Mambo F1',/media/images/1366_dbweb5.jpg?1660224491,Celery 'Mambo F1' is a variety that has been developed for professional growers. It is very resilient to bolting and is resistant to leaf spot. No special soil type required. Can be sown from February to June.
Celery 'Tango F1',/media/images/1365_2_dbweb.jpg?1549350221,"Celery 'Tango F1' is a highly productive variety, with good resistance to blackheart. It produces white to light green stalks and can be grown throughout the entire season."
Celery 'Tall Utah 52/70',/media/images/1370_dbweb.jpg?1549350221,Both the stalks and young leaves of celery 'Tall Utah 52/70' are edible. Sow in a tray under glass in mid-April. 'Tall Utah 52/70' germinates very slowly. Do not plant too deep.
Celeriac ‘Balena F1’,/media/images/celeriac_balena-800x8004.jpg?1614699779,"Celeriac 'Balena F1' has lovely dense, white tubers and skin with very few brown spots. This crop has strong, upright leaves and withstands cold well."
Celeriac 'Monarch',/media/images/celeriac-monarch-800x8000.jpg?1643114002,"Celeriac ‘Monarch’ is a reliable variety that has proved its worth for more than 40 years. The large roots are wonderfully white on the inside and have a delicate, nutty flavour."
Celeriac 'Roem van Zwijndrecht',/media/images/1410_dbweb.jpg?1549350221,Roem van Zwijndrecht' is a small celeriac variety. It has a long growing period and the soil must still contain sufficient nutrients at the end of this period as this is when the root forms.
"Garden Orache, green",/media/images/19903.jpg?1654766061,"Garden Orache Green produces fairly tall, light green leaves. This variety grows on all soils and is also suitable for cultivation as baby leaves. Prepare garden orache the same way as spinach."
"Garden Orache, red",/media/images/2000_dbweb.jpg?1549350221,"As the name suggests, this Garden Orache Red variety produces red leaves. Its attractive leaves are fairly tall and upright. Garden Orache Red grows on all soils and is suitable for baby leaf cultivation."
Chard 'White Silver 3',/media/images/1900_dbweb.jpg?1549350221,"Chard 'White Silver 3' is suitable for baby leaf cultivation and grows well on all soil types. This chard grows into a large plant with smooth, green leaves and broad, white veins."
Chard 'Fireworks',/media/images/1885_dbweb.jpg?1549350221,"The stunning chard 'Fireworks' (previously known as 'Five Colours') produces chard in red, yellow, purple, orange and white. This variety with green leaves can be grown on all soil types or as baby leaf."
Chard 'Perpetual Spinach',/media/images/1890_dbweb.jpg?1549350221,Chard 'Perpetual Spinach' is easy to grow on all soil types. It is also suitable for baby leaf cultivation. This variety produces lots of green leaves with thin veins.
Chard 'Rhubarb Chard',/media/images/1910_dbweb.jpg?1549350221,Rhubarb Chard' is easy to grow on all soil types. It is also suitable for baby leaf cultivation. This variety produces apple-red stems and veins. The leaves are slightly curled.
Chard 'Sunset Selection',/media/images/1915_dbweb.jpg?1549350221,Chard 'Sunset Selection' is suitable as a baby leaf in late summer and autumn. In winter it performs well in frost-free greenhouses. It thanks its name to the fabulous orangey-yellow stems and green leaves.
Beetroot 'Boldor',/media/images/1068_dbweb2.jpg?1702474595,"Golden beetroot 'Boldor' is a firm beetroot with a surprising colour: Its flesh is bright yellow. This tasteful beetroot can be eaten raw, but also in numerous warm dishes. A packet contains 100 seeds which is sufficient for approximately 2 square meters."
Beetroot 'Boro F1',/media/images/1055_dbweb0.jpg?1660225665,Beetroot 'Boro F1' is a standard variety for organic beetroot cultivation. The beets have a wonderfully intense red colour and the leaves are healthy and strong. Harvested beets store well in a cool shed or root clamp.
Beetroot 'Chioggia',/media/images/1065_dbweb.jpg?1549350221,"Chioggia' beetroot, with its lovely large beets and good yield, originates in the Italian village of Chioggia. 'Chioggia' has a mild, sweet taste and beautiful flesh with red and white rings."
Beetroot 'Cylindra',/media/images/1060_2.jpg?1549350221,"The 'Cylindra' beetroot belongs to the ideal varieties for garnishing. A very tasty, cylindrical variety. Slender, high-growing beetroot that is best sown between April and July."
Beetroot 'Egyptische platronde',/media/images/1040_dbweb.jpg?1549350221,The relatively sweet beetroot 'Egyptian Flatround' is very suitable for storage. It is an early variety. The second half of May is the best time to sow this variety. Please note that these beets cannot be transplanted.
Beetroot 'Detroit 2',/media/images/1050_dbweb.jpg?1549350221,"The 'Detroit 2' beetroot can be sown from April to July. In greenhouses, sowing can start in February or March. It is important to pull beetroots before the frost in autumn. Also suitable for storage."
Leaf Mustard 'Golden Frills',/media/images/1032_dbweb.jpg?1549350221,Golden Frills' is a mustard leaf with a spicy flavor. Prepare the green leaves in the same way as other leafy vegetables and spinach. 'Golden Frills' can also be grown for baby leaves.
Leaf Mustard 'Purple Frills',/media/images/bladmosterd-purple-frills-foto2.jpg?1549350221,"Mustard Leaf 'Purple Frills' can be eaten at both young and mature stages. This variety can also be grown for baby leaves. The deep purple, finely-incised leaves taste spicy."
Leaf Mustard 'Red Giant',/media/images/bladmosterd-red-giant.jpg?1549350221,"Leaf Mustard 'Red Giant' has a loose head with red-green, slightly bumpy, round leaves. It is fast growning and tastes spicy. Also known as mustard lettuce, mustard cabbage or more commonly as cabbage leaf."
Swede 'Helenor F1',/media/images/15917.jpg?1629209095,"Swede 'Helenor F1' has a beautiful, purple color and yellow flesh that tastes sweet and is of high quality. The round bulb reaches a weight of 0.6 to 1.2 kg."
Cauliflower 'Bermeo F1',/media/images/1441_dbweb.jpg?1549350221,"Cauliflower 'Bermeo F1' is ideal for early summer cultivation. This reasonably self-blanching cauliflower has a nicely firm, round head. Sow in February or early March."
Cauliflower 'Flora Blanca',/media/images/1445_dbweb.jpg?1549350221,"Cauliflower 'Flora Blanca' can overwinter if protected with fleece. This variety is suitable for autumn cultivation and prefers well-fertilised, well-drained soil."
Cauliflower 'Liria F1',/media/images/1442_dbweb.jpg?1549350221,"Cauliflower 'Liria F1' is self-blanching, so the heads stay a beautiful ivory. The strong variety is suitable for early autumn cultivation. It is a hybrid variety with a shorter growth period than traditionally crossed varieties."
Curly kale ‘Darkibor F1’,/media/images/1451_dbweb21.jpg?1660558403,"Curly Kale 'Darkibor F1' is a variety suitable for autumn cultivation. The tightly-curled, dark green kale is resistant to yellowing."
Curly kale ‘Redbor F1’,/media/images/borecole_redbor-800x800_24.jpg?1614699282,"Curly Kale 'Redbor F1' has erect, leaves with sturdy stems. The plants grow 70- 90 cm high and are suitable for autumn and winter cultivation."
