Name,Description
Elephant Garlic bulblets AB - Allium ampeloprasum,"Elephant Garlic bulblets will be available for sale in September 2024.

Elephant garlic, or oriental garlic, is halfway between garlic and leek. It has very large bulbs, 7 to 10 cm long and weighing up to 400 g, made up of 4 to 6 large cloves with a milder flavor than ordinary garlic. Its stems, leaves and flowers, however, resemble leeks in every way.

Where and when to plant elephant garlic cloves?

Elephant garlic enjoys all types of soil, as long as they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate in raised beds 10 to 15 cm high to facilitate water drainage.

Elephant garlic is planted in autumn, from September to November.

How to plant elephant garlic cloves?

To plant garlic cloves correctly, and obtain a good harvest:


	make a furrow, or draw a line, on either side of the cultivation line, spacing each line 30 cm apart;
	plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.


Care and maintenance

After planting, this garlic requires very little maintenance. Hoe the plant a few times during the growing season to eliminate weeds, and cut off the flower stalks in June to encourage bulb development.

Water only if the soil is too dry, during planting and bulb formation. Garlic elephant plants can be mulched in dry periods. Avoid mulching in humid regions, however, as excess water causes the bulbs to rot.

When and how to harvest garlic?

All parts of elephant garlic can be eaten, and it can be harvested at any stage of maturity. Garlic can be harvested from May to August.

Leaves: May to June

Elephant garlic leaves can be harvested as and when needed, and eaten in the same way as leeks. However, such harvesting considerably limits bulb development.

The flower stalk: in June

Around June, elephant garlic produces a long flower stalk. It can be harvested before the inflorescence appears and, like leeks, eaten raw or steamed.

Mature bulbs: July to August

Mature bulbs are harvested when the top half of the leaves have dried. Harvest elephant garlic plants in dry weather, leaving them to dry out on the ground for a few days. If rain or excessive heat is forecast in the days following harvest, spread them out in a protected area before storing.

How to store elephant garlic bulbs

For long-lasting storage, keep garlic heads well dried, away from light and in a cool, well-ventilated room. In bunches, nets or crates, garlic can be stored in a variety of ways.

Elephant garlic can be stored for 3 to 6 months.

Elephant garlic in the vegetable garden: companion plants and crop rotation

Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).

In the vegetable garden, elephant garlic likes to be close to :


	beet ;
	chamomile ;
	carrot ;
	celery
	strawberry plant ;
	lettuce ;
	tomatoes.


Keep away from :


	asparagus ;
	cabbage
	broad bean;
	peas."
Germidour Purple Garlic Bulbs 250 g AB - Allium sativum,"Germidour garlic will be back on the market in autumn 2024.

This very early autumn variety, adapted to cool regions, offers large purple or white bulbs with purple stripes, made up of 10 to 15 cloves. This strong-tasting purple garlic is renowned for its high yield and good shelf life.

Where and when to plant garlic cloves?

Garlic enjoys all types of soil, provided they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.

Autumn garlic is planted from September to November.

How to plant garlic cloves?

To plant garlic cloves correctly and obtain a good harvest, you need to


	choose healthy cloves of the right size;
	draw a furrow or a line on either side of the cultivation line, spacing each line 30 cm apart;
	plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.


Garlic care

After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.

Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.

When and how to harvest garlic?

All parts of garlic can be eaten, and it can be harvested at all stages of maturity: young plants or carnations, fresh bulbs, mature bulbs. Autumn garlic harvests run from April to July.

Carnation: from April onwards

Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.

Fresh or ""green"" bulbs: in May

Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.

Mature bulbs: June to July

Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.

Garlic bulb storage

For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in different ways: in bunches, braids, nets or crates.

Germidour"" violet garlic can be stored for 4 to 8 months.

Garlic in the vegetable garden: companion plants and crop rotation

Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).

In the vegetable garden, garlic likes to be close to :


	beet ;
	chamomile ;
	carrot ;
	celery ;
	strawberries ;
	lettuce ;
	tomatoes.


Keep away from :


	asparagus ;
	cabbage
	broad bean;
	beans;
	peas."
"White Garlic Bulbs ""Messidrome"" AB - 250 g - Allium sativum","Messidrôme garlic will be back on sale in autumn 2024.
This traditional autumn variety originates from the Drôme region of France. Messidrome"" white garlic is early and highly productive, producing beautiful, very white bulbs with 8 to 14 creamy-white cloves and a mild flavor.
Where and when to plant garlic cloves?
Garlic enjoys all types of soil, as long as they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.
Autumn garlic is planted from September to November.
How to plant garlic cloves?
To plant garlic cloves correctly and obtain a good harvest, you need to

choose healthy cloves of the right size;
draw a furrow or a line on either side of the cultivation line, spacing each line 30 cm apart;
plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.

Garlic care
After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.
Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.
When and how to harvest garlic?
All parts of the garlic plant can be eaten, and it can be harvested at all stages of maturity: young plants, fresh bulbs and mature bulbs. Autumn garlic harvests run from April to July.
Carnation: from April onwards
Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.
Fresh or ""green"" bulbs: in May
Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.
Mature bulbs: June to July
Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.
Garlic bulb storage
For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in a variety of ways: in bunches, braids, nets or crates.
Messidrome"" white garlic can be stored for 4 to 6 months.
Garlic in the vegetable garden: companion plants and crop rotation
Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).
In the vegetable garden, garlic likes to be close to :

beet ;
chamomile ;
carrot ;
celery ;
strawberries ;
lettuce ;
tomatoes.

Keep away from :

asparagus ;
cabbage
broad bean;
beans;
peas."
"White Garlic Bulbs ""Thermidrome"" AB - 250 g - Allium sativum","Garlic bulbs will be available for sale in autumn 2024.

This autumn variety, from the Drôme region, is early and productive. White garlic ""Thermidrome"", with a slightly lower yield than the ""Messidrome"" variety, is however hardier and well adapted to cold-climate regions. It produces beautiful white bulbs with light violet highlights, made up of 8 to 14 pinkish-beige cloves.

Where and when to plant garlic cloves?

Garlic enjoys all types of soil, provided they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.

Autumn garlic is planted from September to November.

How to plant garlic cloves?

To plant garlic cloves correctly and obtain a good harvest, you need to


	choose healthy cloves of the right size;
	draw a furrow or a line on either side of the cultivation line, spacing each line 30 cm apart;
	plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.


Garlic care

After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.

Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.

When and how to harvest garlic?

All parts of the garlic plant can be eaten, and it can be harvested at all stages of maturity: young plants, fresh bulbs and mature bulbs. Autumn garlic harvests run from April to July.

Carnation: from April onwards

Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.

Fresh or ""green"" bulbs: in May

Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.

Mature bulbs: June to July

Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.

Garlic bulb storage

For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in a variety of ways: in bunches, braids, nets or crates.

Thermidrome"" white garlic can be stored for 4 to 6 months.

Garlic in the vegetable garden: companion plants and crop rotation

Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).

In the vegetable garden, garlic likes to be close to :


	beet ;
	chamomile ;
	carrot ;
	celery ;
	strawberries ;
	lettuce ;
	tomatoes.


Keep away from :


	asparagus ;
	cabbage
	broad bean;
	beans;
	peas."
"Purple Garlic Bulbs ""De Cagnolle"" AB - 250 g - Allium sativum","** Garlic bulbs will be available for sale in mid-October. You can set up an alert to be informed by e-mail as soon as they are available **.
This very early autumn variety, adapted to cool regions, produces large purple or white bulbs with purple stripes, with 10 to 15 cloves. This strong-tasting purple garlic is renowned for its high yield and good shelf life. 
Where and when to plant garlic cloves?
Garlic appreciates all types of soil, provided they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.
Autumn garlic is planted from September to November.
How to plant garlic cloves?
To plant garlic cloves correctly and obtain a good harvest, you need to

choose healthy cloves of the right size;
draw a furrow or a line on either side of the cultivation line, spacing each line 30 cm apart;
plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.

Garlic care
After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.
Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.
When and how to harvest garlic?
All parts of garlic can be eaten, and it can be harvested at all stages of maturity: young plants or carnations, fresh bulbs, mature bulbs. Autumn garlic harvests run from April to July.
Carnation: from April onwards
Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.
Fresh or ""green"" bulbs: in May
Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.
Mature bulbs: June to July
Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.
Garlic bulb storage
For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in different ways: in bunches, braids, nets or crates.
Germidour"" violet garlic can be stored for 4 to 8 months.
Garlic in the vegetable garden: companion plants and crop rotation
Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).
In the vegetable garden, garlic likes to be close to :

beet ;
chamomile ;
carrot ;
celery ;
strawberries ;
lettuce ;
tomatoes.

Keep away from :

asparagus ;
cabbage
broad bean;
beans;
peas."
"Purple Garlic Bulbs ""Primor"" AB - 250 g - Allium sativum","Garlic bulbs will be available for sale in autumn 2024.

Primor"" violet garlic offers beautiful, white bulbs streaked with violet, made up of 8 to 10 white-pink cloves, and develops a rigid flower stalk around June. This autumn variety, one of the earliest, is well-suited to carnation production.

Where and when to plant garlic cloves?

Garlic enjoys all types of soil, as long as they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.

Autumn garlic is planted from September to November.

How to plant garlic cloves?

To plant garlic cloves correctly and obtain a good harvest, you need to


	choose healthy cloves of the right size;
	draw a furrow or a line on either side of the cultivation line, spacing each line 30 cm apart;
	plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.


Garlic care

After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.

Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.

When and how to harvest garlic?

All parts of garlic can be eaten, and it can be harvested at all stages of maturity: young plants or carnations, fresh bulbs, mature bulbs. Autumn garlic harvests run from April to July.

Carnation: from April onwards

Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.

Fresh or ""green"" bulbs: in May

Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.

Mature bulbs: June to July

Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.

Garlic bulb storage

For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in a variety of ways: in bunches, braids, nets or crates.

Primor"" violet garlic can be stored for 4 to 8 months.

Garlic in the vegetable garden: companion plants and crop rotation

Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).

In the vegetable garden, garlic likes to be close to :


	beet ;
	chamomile ;
	carrot ;
	celery ;
	strawberries ;
	lettuce ;
	tomatoes.


Keep away from :


	asparagus ;
	cabbage
	broad bean;
	beans;
	peas."
"White Garlic Bulbs ""Precosem"" AB - 250 g","Precosem"" garlic will be available for sale in autumn 2024.

Precosem"" white garlic is a particularly early autumn variety from the Drôme region. It produces white bulbs flamed with violet, made up of a dozen ivory-colored cloves, and develops a flowering spike.

""Precosem"" is more suitable for green production.

Where and when to plant garlic cloves?

Garlic appreciates all types of soil, provided they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.

Autumn garlic is planted from September to November.

How to plant garlic cloves?

To plant garlic cloves correctly and obtain a good harvest, you need to


	choose healthy cloves of the right size;
	draw a furrow or a line on either side of the cultivation line, spacing each line 30 cmapart;
	plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.


Garlic care

After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.

Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.

When and how to harvest garlic?

All parts of the garlic plant can be eaten, and it can be harvested at all stages of maturity: young plants, fresh bulbs and mature bulbs. Autumn garlic harvests run from April to July.

Carnation: from April onwards

Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.

Fresh or ""green"" bulbs: in May

Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.

Mature bulbs: June to July

Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.

Garlic bulb storage

For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in a variety of ways: in bunches, braids, nets or crates.

Precosem"" white garlic, intended for green production, does not keep long as a bulb.

Garlic in the vegetable garden: companion plants and crop rotation

Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).

In the vegetable garden, garlic likes to be close to :


	beet ;
	chamomile ;
	carrot ;
	celery ;
	strawberries ;
	lettuce ;
	tomatoes.


Keep away from :


	asparagus ;
	cabbage
	broad bean;
	beans;
	peas."
"White Garlic Bulbs ""Messidor"" AB - 250 g","Messidor"" garlic will be available for sale in autumn 2024.

Messidor"" white garlic is an early autumn variety from the Drôme region, adapted to regions with mild winters. It doesn't develop a flowering stem and is characterized by high yields and very white bulbs with 10 to 15 large, mild-tasting cloves.

""Messidor is well suited to the production of semi-dry and dry garlic.

Where and when to plant garlic cloves?

Garlic appreciates all types of soil, provided they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.

Autumn garlic is planted from September to November.

How to plant garlic cloves?

To plant garlic cloves correctly and obtain a good harvest, you need to


	choose healthy cloves of the right size;
	draw a furrow or a line on either side of the cultivation line, spacing each line 30 cmapart;
	plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.


Garlic care

After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.

Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.

When and how to harvest garlic?

All parts of garlic can be eaten, and it can be harvested at all stages of maturity: young plants or carnations, fresh bulbs, mature bulbs. Autumn garlic harvests run from April to July.

Carnation: from April onwards

Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.

Fresh or ""green"" bulbs: in May

Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.

Mature bulbs: June to July

Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.

Garlic bulb storage

For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in a variety of ways: in bunches, braids, nets or crates.

Messidor"" white garlic can be stored for 4 to 5 months.

Garlic in the vegetable garden: companion plants and crop rotation

Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).

In the vegetable garden, garlic likes to be close to :


	beet ;
	chamomile ;
	carrot ;
	celery ;
	strawberries ;
	lettuce ;
	tomatoes.


Keep away from :


	asparagus ;
	cabbage
	broad bean;
	beans;
	peas."
"White Garlic Bulbs ""Rustisem"" AB - 250 g","Rustisem"" garlic will be available for sale in autumn 2024.

Rustisem"" white garlic, an autumn variety originating from the Drôme region, is one of the latest varieties to come on the market. Productive and vigorous, it is perfectly adapted to regions with harsh climates, and produces white bulbs tinged with violet and made up of around fifteen cloves.

""Rustisem is well suited to dry garlic production.

Where and when to plant garlic cloves?

Garlic enjoys all types of soil, provided they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.

Autumn garlic is planted from September to November.

How to plant garlic cloves?

To plant garlic cloves correctly and obtain a good harvest, you need to


	choose healthy cloves of the right size;
	draw a furrow or a line on either side of the cultivation line, spacing each line 30 cmapart;
	plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.


Garlic care

After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.

Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.

When and how to harvest garlic?

All parts of garlic can be eaten, and it can be harvested at all stages of maturity: young plants or carnations, fresh bulbs, mature bulbs. Autumn garlic harvests run from April to July.

Carnation: from April onwards

Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.

Fresh or ""green"" bulbs: in May

Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.

Mature bulbs: June to July

Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.

Garlic bulb storage

For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in a variety of ways: in bunches, braids, nets or crates.

Rustisem"" white garlic can be stored for 5 to 6 months.

Garlic in the vegetable garden: companion plants and crop rotation

Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).

In the vegetable garden, garlic likes to be close to :


	beet ;
	chamomile ;
	carrot ;
	celery ;
	strawberries ;
	lettuce ;
	tomatoes.


Keep away from :


	asparagus ;
	cabbage
	broad bean;
	beans;
	peas."
"Autumn White Garlic Bulbs ""Therador"" AB - 250 g","Therador"" garlic will be available for sale in autumn 2024.

Therador"" white garlic, an early autumn variety from the Drôme region, is ideally suited to regions with harsh climates. Characterized by a high yield, it offers white bulbs with pinkish highlights, made up of 12 to 17 delicious cloves.

""Therador is well suited to the production of semi-dry and dry garlic.

Where and when to plant garlic cloves?

Garlic appreciates all types of soil, provided they are well aerated and drained, and amended the season before planting, as well as sunny exposures. In compact, damp soils, cultivate on raised beds 10 to 15 cm high to facilitate water drainage.

Autumn garlic is planted from September to November.

How to plant garlic cloves?

To plant garlic cloves correctly and obtain a good harvest, you need to


	choose healthy cloves of the right size;
	draw a furrow or a line on either side of the cultivation line, spacing each line 30 cmapart;
	plant the cloves, pointing upwards, 5 cm deep in well-drained soil, every 10 to 15 cm.


Garlic care

After planting, garlic requires very little maintenance, and only a few hoeings are needed to eliminate weeds.

Water only if the soil is too dry, during planting and bulb formation. Garlic plants can be mulched in dry periods, but this should be avoided in humid regions, as excess water causes the bulbs to rot.

When and how to harvest garlic?

All parts of the garlic plant can be eaten, and it can be harvested at all stages of maturity: young plants, fresh bulbs and mature bulbs. Autumn garlic harvests run from April to July.

Carnation: from April onwards

Garlic is harvested as needed, before the bulb has formed, by plucking from the base. It's eaten like chives, and makes a wonderful accompaniment to omelettes, salads, pestos and more. For carnation production, the pods can be planted every 3 or 5 cm on the row.

Fresh or ""green"" bulbs: in May

Fresh young bulbs are full of water and have a sweeter taste than mature bulbs. They can be harvested as needed.

Mature bulbs: June to July

Mature bulbs, intended for storage, are harvested when the upper half of the leaves are dry. If the weather is dry, uproot the garlic plants and leave them to dry out on the ground for a few days. If rain or too much heat is forecast for the days following harvest, spread them out in a protected area before storing.

Garlic bulb storage

For long-lasting storage, keep garlic bulbs dry, away from light and in a cool, well-ventilated room. Garlic can be stored in a variety of ways: in bunches, braids, nets or crates.

Therador"" white garlic can be stored for 5 to 6 months.

Garlic in the vegetable garden: companion plants and crop rotation

Avoid planting garlic, or any other plant in the same family (leek, shallot, onion, etc.), in the same place for at least 4 to 5 years. Garlic is generally grown after a fruiting vegetable (tomato, zucchini, eggplant, bell pepper, etc.) and before a fabaceae (bean, pea, bean, lentil, etc.).

In the vegetable garden, garlic likes to be close to :


	beet ;
	chamomile ;
	carrot ;
	celery ;
	strawberries ;
	lettuce ;
	tomatoes.


Keep away from :


	asparagus ;
	cabbage
	broad bean;
	beans;
	peas."
